ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.5636372941,5375.582938306655,24081.63070287862
2014-02-28,5778.538304577603,-4008.532495344246,14443.151104683933
2014-03-31,41875.34314133427,32945.2887560025,50819.94030097746
2014-04-30,25662.724544582907,16307.779855856314,35040.75309321181
2014-05-31,25711.929455664234,16794.784435394467,35444.57679078779
2014-06-30,26711.737995762134,17105.840985891202,35481.32765361145
2014-07-31,26438.133371914366,17365.156017095152,35554.53030301154
2014-08-31,30856.59017841729,21657.834641531757,40734.954591561924
2014-09-30,67621.1171978275,57629.12101555042,76952.3498384714
2014-10-31,36077.38757669493,26141.385126147383,45381.75973932282
2014-11-30,78301.2689479825,68339.70594670966,87968.90539999786
2014-12-31,69991.58474496145,59865.7300534835,79323.3506116051
2015-01-31,18738.34039346833,9276.159352850058,28273.060440257545
2015-02-28,13880.71375284105,4542.263404968506,23342.839349958962
2015-03-31,49598.625286754745,40280.870229800756,58915.32198425768
2015-04-30,34576.016978878164,26044.116949462426,43922.2752925128
2015-05-31,26387.613872863156,17541.667588611133,35752.835239553926
2015-06-30,31085.925799939112,22009.168951009804,40066.87180858089
2015-07-31,33255.71965370277,23928.117180084217,42137.150481826975
2015-08-31,40664.292447989275,31527.543941274176,49790.10441825388
2015-09-30,76492.06726744714,66967.7797664835,85579.4276418419
2015-10-31,35984.17865948579,27099.813891310874,45139.75756588318
2015-11-30,86921.11813603554,77156.30844622472,95985.11360413763
2015-12-31,75920.60690769984,67005.99113986109,84822.80091458414
2016-01-31,23165.2830464765,13818.271050664354,31731.20590465269
2016-02-29,14902.053835203398,5368.100346108615,24012.79455907985
2016-03-31,51723.80376911017,42138.630379807466,60581.354759715614
2016-04-30,33016.27839527977,23501.54528265492,42006.87252463596
2016-05-31,49868.21836205125,40686.14349986742,59222.65214875187
2016-06-30,44187.68757692149,34605.8778297905,53695.68001949415
2016-07-31,39287.64277451958,30427.601388937903,49814.685086350306
2016-08-31,37700.293657645954,28756.531729649123,47569.89363744809
2016-09-30,75996.70448634832,66992.00047027518,85662.89249947225
2016-10-31,62955.827643965175,53214.54957858061,72492.48656709067
2016-11-30,88181.71063881314,78941.97815374612,97340.53882241137
2016-12-31,85608.11702130968,76044.77757060136,94891.54313177042
2017-01-31,38211.23541297841,28602.03423726086,47605.38739001498
2017-02-28,25246.65833872,15959.350004454534,33767.03477064976
2017-03-31,61845.98790768502,52777.1955465769,71586.0290494033
2017-04-30,44535.97391645906,35850.14683026904,53371.60675059621
2017-05-31,53069.819571681495,44071.06201437321,62757.33928353813
2017-06-30,50739.8533852576,42067.249383311755,60028.709222537334
2017-07-31,48243.1500445679,39436.947706941544,57793.53161901229
2017-08-31,49797.13079011856,40376.37167737863,59035.24648324703
2017-09-30,87518.63585300742,78908.70015853424,97006.5769687378
2017-10-31,65271.070808494354,56109.72377459774,74209.19450837711
2017-11-30,99056.32109912366,89825.92677049279,108263.24997918845
2017-12-31,93756.95210653593,84509.50232056626,103007.67350021822
2018-01-31,44491.08036974027,35340.72664848155,53449.76055573316
2018-02-28,35661.18823184959,26495.59152455772,45062.78658194873
2018-03-31,71959.64053192898,62636.656616381435,81846.85323241599
2018-04-30,55942.16464165361,46503.26145533186,64861.842998955064
2018-05-31,56193.01701533073,46496.653302232844,65645.45065574486
2018-06-30,57387.9682588506,47927.04777644172,67134.3124650061
2018-07-31,57316.01109522258,48002.979733415734,66613.752491709
2018-08-31,61936.11536188858,53199.955929028096,71634.53215080775
2018-09-30,98895.78508590232,89840.46656408723,107957.2018298494
2018-10-31,67553.70292629839,58229.852887858426,76836.17155917599
2018-11-30,109972.72699823647,100832.58970039971,118929.59440705687
2018-12-31,101864.69025458937,92698.81921729897,111356.55244387923
